CARID,Name,Predicted Spill Frequency / Year,Predicted Spill Volume / Year (m3),Storm Overflow Classification,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description,Monitored,2023 Spill Count,2023 Spill Duration (hrs),2024 Spill count,2024 Spill duration (hrs),2024 Percent Availability,Commentary
CO003266610,Bangor Road Whitespots CSO,1,238,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,349684,375078,349684 375078,Discharge Point Coordinates,,,,,,,
CO000984517,Ballymurphy Road CSO,1,235,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330637,373736,330637 373736,Discharge Point Coordinates,,,,,,,
CO000984769,Loughview Park Kilrea CSO,8,229,Unsatisfactory,UKGBNI1NB030301149,Lower River Bann (Kilrea),292901,412492,292901 412492,Discharge Point Coordinates,,,,,,,
SP002022731,Westland Road WwPS,17,225,Satisfactory,UKGBNI1NB030308230,Ballinderry River (Cookstown),280275,377447,280275 377447,Discharge Point Coordinates,,,,,,,
CO004126735,Hunters Mill CSO,1,225,Unsatisfactory,UKGBNI1NE050505115,Quoile River,348715,343932,348715 343932,Discharge Point Coordinates,,,,,,,
CO000984508,Andersonstown Park CSO,1,224,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330632,372064,330632 372064,Discharge Point Coordinates,,,,,,,
CO000984109,Old Market Yard West CSO,12,222,Unsatisfactory,UKGBNI1NW010102006,Drumragh River,245488,372659,245488 372659,Discharge Point Coordinates,,,,,,,
CO000984312,Cumberland Road CSO,1,217,Unsatisfactory,UKGBNI1NE050504080,Enler River (Dundonald),341367,373493,341367 373493,Discharge Point Coordinates,,,,,,,
SP002021990,Drumgallon WwPS,1,217,Unsatisfactory,UKGBNI1NW363601044,Sillees River (Drumkeen),222030,342610,222030 342610,Discharge Point Coordinates,,,,,,,
SP002022886,Glen Road Maghera WwPS,8,217,Unsatisfactory,UKGBNI1NB030303226,Milltown Burn,282585,400662,282585 400662,Discharge Point Coordinates,,,,,,,
CO000984414,Down Council Strangford Road CSO,4,212,Unsatisfactory,UKGBNI1NE050505115,Quoile River,349022,345807,349022 345807,Discharge Point Coordinates,,,,,,,
CO000984283,Mill Street John CSO,1,203,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,348401,373972,348401 373972,Discharge Point Coordinates,,,,,,,
CO004357337,Dundrum FFT CSO,4,202,Unsatisfactory,Undefined,Undefined,340009,335904,340009 335904,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022250,Comber Road Newtownards WwPS,1,198,Unsatisfactory,GBNI8NE034,Strangford,349002,372782,349002 372782,Discharge Point Coordinates,,,,,,,
CO003594298,Dunfane Crescent Ballymena CSO,22,192,Unsatisfactory,UKGBNI1NB030302018,Braid River (Ballymena),311552,404695,311552 404695,Discharge Point Coordinates,,,,,,,
CO002849760,Fallswater CSO,1,186,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331695,373401,331695 373401,Discharge Point Coordinates,,,,,,,
SP002022854,Milltown Road Antrim WwPS,6,180,Unsatisfactory,UKGBNI1NB030308243,Lough Neagh Peripherals,312238,388607,312238 388607,Discharge Point Coordinates,,,,,,,
SP004002042,Granville Ecopark WwPS,3,179,Unsatisfactory,UKGBNI1NB030307025,River Rhone (Moygashel),276854,360985,276854 360985,Discharge Point Coordinates,,,,,,,
SP002022154,Youngs Bridge WwPS,8,169,Unsatisfactory,UKGBNI1NE050505127,River Lagan (Lisburn),323274,362962,323274 362962,Discharge Point Coordinates,,,,,,,
CO000984525,Hoggs Weir Lisburn CSO,7,164,Satisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),326702,363368,326702 363368,Discharge Point Coordinates,,,,,,,
CO000984486,Brompton Park CSO,1,163,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,332007,376041,332007 376041,Discharge Point Coordinates,,,,,,,
CO000984116,Loughview Road CSO,2,162,Unsatisfactory,UKGBNI1NB030308222,Torrent River,284177,365883,284177 365883,Discharge Point Coordinates,,,,,,,
SP002022718,Station Road Maghera WwPS,5,162,Unsatisfactory,UKGBNI1NB030303167,Back Burn,286037,400767,286037 400767,Discharge Point Coordinates,,,,,,,
CO003266507,Comber High CSO,1,162,Satisfactory,Undefined,Undefined,345985,369502,345985 369502,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984332,Inverary Drive CSO,1,157,Unsatisfactory,UKGBNI6NE180,Belfast Harbour,337087,375534,337087 375534,Discharge Point Coordinates,,,,,,,
CO004356978,Killinchy FFT CSO,1,155,Unsatisfactory,Undefined,Undefined,350176,360779,350176 360779,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984435,Barbican Farm Bryansford Road CSO,2,149,Unsatisfactory,UKGBNI1NE050505123,Shimna River,335497,333241,335497 333241,Discharge Point Coordinates,,,,,,,
CO000984297,Seapark Holywood CSO,1,149,Unsatisfactory,GBNI8NE024,Belfast Lough,340224,379680,340224 379680,Discharge Point Coordinates,,,,,,,
CO002974693,Castlehill Road CSO,1,148,Unsatisfactory,UKGBNI1NE050503087,Connswater,339434,374877,339434 374877,Discharge Point Coordinates,,,,,,,
CO003042519,Bow Street CSO,6,147,Unsatisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),326604,364283,326604 364283,Discharge Point Coordinates,,,,,,,
SP002870965,Jubilee Heights 2 WwPS,2,145,Unsatisfactory,UKGBNI1NE050505127,River Lagan (Lisburn),320941,353917,320941 353917,Discharge Point Coordinates,,,,,,,
SP002022807,Larne Harbour WwPS,1,138,Unsatisfactory,GBNI8NE058,Glens and Rathlin,341497,402328,341497 402328,Discharge Point Coordinates,,,,,,,
CO000984689,Ballymoney Road Parkway CSO,7,138,Satisfactory,UKGBNI1NB030302018,Braid River (Ballymena),310389,403812,310389 403812,Discharge Point Coordinates,,,,,,,
CO003054601,Harryville Bridge CSO,5,131,Unsatisfactory,UKGBNI1NB030302018,Braid River (Ballymena),310563,402951,310563 402951,Discharge Point Coordinates,,,,,,,
CO003340728,Meadowside Downpatrick CSO,1,130,Unsatisfactory,UKGBNI1NE050505115,Quoile River,348671,344880,348671 344880,Discharge Point Coordinates,,,,,,,
CO000984539,Shankill Rest Garden CSO,1,126,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,332002,374907,332002 374907,Discharge Point Coordinates,,,,,,,
CO000984534,Parkgate Avenue CSO,1,124,Unsatisfactory,UKGBNI1NE050503087,Connswater,336579,374388,336579 374388,Discharge Point Coordinates,,,,,,,
SP002021919,Gortree Road WwPS,19,120,Unsatisfactory,UKGBNI1NW020208259,Faughan River (Carnmoney),248244,415252,248244 415252,Discharge Point Coordinates,,,,,,,
SP002022469,Milebush Ballynaris WwPS,16,116,Unsatisfactory,UKGBNI1NE050505127,River Lagan (Lisburn),320619,354053,320619 354053,Discharge Point Coordinates,,,,,,,
SP003007866,Chancellors Road Newry WwPS,11,113,Unsatisfactory,GBNI8NB050,Carlingford and Newry,307338,325204,307338 325204,Discharge Point Coordinates,,,,,,,
SP002022234,Ballywilliam WwPS,4,111,Satisfactory,GBNI8NE026,Belfast Lough,358033,381195,358033 381195,Discharge Point Coordinates,,,,,,,
SP002022810,Glynn WwPS,1,110,Unsatisfactory,GBNI8NE056,Larne Lough,340969,400016,340969 400016,Discharge Point Coordinates,,,,,,,
CO000984657,Bank Road Larne CSO,5,107,Unsatisfactory,UKGBNI1NE040405047,Larne (Inver) River,339945,402150,339945 402150,Discharge Point Coordinates,,,,,,,
SP002022669,Whinney Hill Ballygrooby WwPS,10,105,Unsatisfactory,UKGBNI1NB030302150,River Main (Randalstown),308319,391045,308319 391045,Discharge Point Coordinates,,,,,,,
SP002022433,Murraywood WwPS,3,105,Unsatisfactory,Undefined,Undefined,311039,354950,311039 354950,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022253,Sunderland Park WwPS,1,105,Unsatisfactory,UKGBNI6NE140,Strangford Lough North,349466,372367,349466 372367,Discharge Point Coordinates,,,,,,,
CO003000702,Westburn Crescent CSO,7,103,Unsatisfactory,GBNI8NE025,Belfast Lough,348748,381672,348748 381672,Discharge Point Coordinates,,,,,,,
CO000984515,Springfield Parade CSO,1,102,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331338,374497,331338 374497,Discharge Point Coordinates,,,,,,,
SP002022977,Dundoonan WwPS,11,93,Unsatisfactory,UKGBNI1NB030301222,Dundoonan Feeder,286746,436108,286746 436108,Discharge Point Coordinates,,,,,,,
SP002022224,Gilford Mill WwPS,1,92,Unsatisfactory,UKGBNI1NB030308256,River Bann (Gilford),306072,348637,306072 348637,Discharge Point Coordinates,,,,,,,
CO003049210,Kildares Court CSO,3,89,Unsatisfactory,UKGBNI6NE190,Dundrum Bay Outer,355869,337748,355869 337748,Discharge Point Coordinates,,,,,,,
CO000984490,Glencairn Street CSO,1,87,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331151,375660,331151 375660,Discharge Point Coordinates,,,,,,,
CO000984662,Inver Primary School CSO,1,87,Unsatisfactory,UKGBNI1NE040405047,Larne (Inver) River,339830,402405,339830 402405,Discharge Point Coordinates,,,,,,,
CO000984732,Unipork Molesworth Street CSO,1,86,Unsatisfactory,UKGBNI1NB030304063,Ballinderry River (Derrygonnigan),281978,377804,281978 377804,Discharge Point Coordinates,,,,,,,
CO000984208,Upton Park Finaghy CSO,1,85,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330103,369778,330103 369778,Discharge Point Coordinates,,,,,,,
CO002969335,Seaview Strangford Road CSO,1,84,Unsatisfactory,GBNI8NE038,South Down,355826,337999,355826 337999,Discharge Point Coordinates,,,,,,,
SP002022646,Brocklamont WwPS,4,83,Unsatisfactory,UKGBNI1NB030302018,Braid River (Ballymena),309110,402530,309110 402530,Discharge Point Coordinates,,,,,,,
CO003075094,Crawfordsburn Road Glenview CSO,1,83,Satisfactory,GBNI8NE025,Belfast Lough,348698,381533,348698 381533,Discharge Point Coordinates,,,,,,,
SP002022511,Pinetrees WwPS,2,81,Unsatisfactory,UKGBNI1NE050505122,Blackstaff (South Down) River,340702,341900,340702 341900,Discharge Point Coordinates,,,,,,,
CO000984570,Anderson Park CSO,2,78,Unsatisfactory,UKGBNI1NB030301223,Ballyversal Stream,284872,432633,284872 432633,Discharge Point Coordinates,,,,,,,
CO004339517,Ballyscullion Road CSO,7,77,Unsatisfactory,UKGBNI1NB030301169,Lower River Bann (Toome),295500,396376,295500 396376,Discharge Point Coordinates,,,,,,,
CO000984731,Orritor Road CSO,21,75,Unsatisfactory,UKGBNI1NB030308230,Ballinderry River (Cookstown),280155,378914,280155 378914,Discharge Point Coordinates,,,,,,,
SP002021836,Killyneill Road WwPS,2,75,Unsatisfactory,UKGBNI1NB030307036,River Rhone (Dungannon),281371,361885,281371 361885,Discharge Point Coordinates,,,,,,,
SP002022905,Tullywiggan WwPS,1,75,Satisfactory,UKGBNI1NB030304061,Killymoon River,282316,375141,282316 375141,Discharge Point Coordinates,,,,,,,
CO003042650,Antrim Road Factories CSO,8,74,Unsatisfactory,UKGBNI1NE050505125,Ballynahinch River,336450,352346,336450 352346,Discharge Point Coordinates,,,,,,,
CO000984665,Mill Brae Two CSO,1,74,Unsatisfactory,Undefined,Undefined,339018,402485,339018 402485,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022676,The Meadows Randalstown WwPS,1,73,Unsatisfactory,UKGBNI1NB030302150,River Main (Randalstown),309085,390188,309085 390188,Discharge Point Coordinates,,,,,,,
SP002022454,Gravel Hill Two WwPS,6,72,Unsatisfactory,UKGBNI1NE050503001,Hillsborough Park Lake Stream,322223,360619,322223 360619,Discharge Point Coordinates,,,,,,,
SP002840300,Crew Road Maghera WwPS,1,69,Satisfactory,UKGBNI1NB030308234,Grillagh River,285880,400984,285880 400984,Discharge Point Coordinates,,,,,,,
CO002852742,Woodlawn Drive CSO,4,67,Unsatisfactory,UKGBNI1NB030307025,River Rhone (Moygashel),279554,362850,279554 362850,Discharge Point Coordinates,,,,,,,
CO003042914,Errigal CSO,1,67,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,329624,371278,329624 371278,Discharge Point Coordinates,,,,,,,
CO004395304,Limavady FA CSO,30,66,Satisfactory,Undefined,Undefined,267441,423855,267441 423855,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984323,Holywood Road Marmont CSO,1,64,Unsatisfactory,GBNI8NE023,Lagan,338191,376061,338191 376061,Discharge Point Coordinates,,,,,,,
CO000984451,Derryogue Park CSO,1,63,Unsatisfactory,UKGBNI6NB020,Mourne Coast,330777,313269,330777 313269,Discharge Point Coordinates,,,,,,,
CO003266544,Church Street Ards CSO,1,62,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,348398,373984,348398 373984,Discharge Point Coordinates,,,,,,,
SP002022280,Ben Vista Holywood WwPS,1,61,Unsatisfactory,GBNI8NE024,Belfast Lough,341163,379961,341163 379961,Discharge Point Coordinates,,,,,,,
CO000984284,Main Street Old Mill Close CSO,1,58,Unsatisfactory,UKGBNI1NE050502083,Crawfordsburn River,346742,381256,346742 381256,Discharge Point Coordinates,,,,,,,
SP002021735,Longstone Drumsill WwPS,1,58,Satisfactory,UKGBNI1NB030308225,Callan River (Derryscollop),287881,347222,287881 347222,Discharge Point Coordinates,,,,,,,
CO002852833,Linenhall Street CSO,1,56,Unsatisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),326885,364129,326885 364129,Discharge Point Coordinates,,,,,,,
CO003461907,Circular Road Larne CSO,2,54,Unsatisfactory,UKGBNI1NE040405047,Larne (Inver) River,340008,402387,340008 402387,Discharge Point Coordinates,,,,,,,
CO000984108,Campsie Court CSO,5,53,Unsatisfactory,UKGBNI1NW010108257,Camowen River (Omagh),245545,372798,245545 372798,Discharge Point Coordinates,,,,,,,
CO000984518,Springfield Park Owenvale CSO,1,51,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330507,374069,330507 374069,Discharge Point Coordinates,,,,,,,
